"client_id,Age,gender,country,region,client_type,acquisition_purpose,loan_applied,referral_channel,properties_owned,total_investment,avg_floor_area,avg_satisfaction,Cluster,Buyer_Segment,Recommendation,Investment_Risk"
"C0001,58,F,USA,California,Individual,Home,Yes,Website,4,1246764.72,983.885,4.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",Medium Investment"
"C0002,64,M,USA,California,Individual,Home,No,Website,5,1841095.9300000002,1187.942,1.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0003,67,M,USA,California,Individual,Home,Yes,Agency,5,1661457.5899999999,1058.1100000000001,4.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0004,67,M,USA,California,Individual,Home,No,Website,6,1608263.51,937.1033333333334,5.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0005,50,M,USA,California,Company,Investment,No,Website,13,3653385.38,927.2961538461539,5.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0006,69,M,USA,California,Individual,Home,Yes,Website,5,1514131.06,989.5899999999999,3.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0007,79,M,Canada,Quebec,Individual,Investment,No,Website,11,3251147.83,995.6936363636363,5.0,1,International Diversified Buyers,""Offer mortgage assistance, virtual property tours, overseas investment support, and flexible payment options."",High Investment"
"C0008,57,F,USA,California,Individual,Home,No,Website,5,1476730.4100000001,1031.106,5.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0009,51,M,USA,California,Individual,Investment,No,Agency,5,1820832.35,1305.644,5.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0010,60,M,USA,Oregon,Individual,Investment,No,Agency,5,1732434.0,1140.206,3.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0011,70,F,USA,California,Individual,Home,Yes,Website,5,1325211.52,935.914,2.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",Medium Investment"
"C0012,51,M,USA,California,Company,Investment,No,Website,4,1599526.4,1317.445,5.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0013,64,M,USA,California,Individual,Home,Yes,Website,5,2142750.89,1407.376,1.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0014,46,M,USA,California,Company,Home,Yes,Website,4,1548140.0699999998,1280.5425,3.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0015,85,F,USA,California,Individual,Home,No,Client,5,1585907.37,1030.764,5.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0016,87,F,USA,California,Individual,Investment,No,Website,4,1010217.73,842.145,5.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",Low Investment"
"C0017,49,M,USA,Arizona,Individual,Home,No,Client,5,1778693.75,1195.8139999999999,3.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0018,59,M,USA,California,Individual,Home,Yes,Agency,4,1061478.67,913.8325,2.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",Low Investment"
"C0019,69,M,USA,California,Individual,Home,Yes,Client,4,1773474.26,1402.0425,5.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0020,59,F,USA,California,Individual,Home,No,Website,4,1508032.25,1307.08,5.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0021,88,M,USA,Oregon,Individual,Investment,No,Website,6,1928172.72,1028.86,3.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0022,60,M,Germany,Berlin,Individual,Investment,No,Agency,4,1372403.2,1247.4850000000001,5.0,1,International Diversified Buyers,""Offer mortgage assistance, virtual property tours, overseas investment support, and flexible payment options."",High Investment"
"C0023,68,M,USA,California,Individual,Home,Yes,Website,5,1457871.69,948.3880000000001,3.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0024,63,M,USA,California,Individual,Investment,No,Website,6,1884156.9000000001,1053.735,4.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0025,89,M,USA,Nevada,Individual,Home,Yes,Website,5,1694448.83,1120.576,2.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0026,64,M,USA,California,Individual,Investment,No,Website,10,2932241.75,1002.383,5.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0027,58,M,USA,California,Individual,Home,Yes,Website,5,1517969.44,1070.234,5.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0028,68,F,USA,California,Individual,Home,No,Client,5,1791082.79,1266.366,3.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0029,50,F,USA,Colorado,Individual,Home,Yes,Agency,4,1247795.31,993.05,4.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",Medium Investment"
"C0030,74,F,USA,Nevada,Individual,Home,No,Website,4,1547311.29,1279.3725,3.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0031,49,M,USA,Nevada,Individual,Home,Yes,Website,5,1077148.21,677.3399999999999,4.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",Low Investment"
"C0032,60,M,USA,California,Individual,Home,No,Website,5,1888995.1600000001,1282.528,4.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0033,58,F,USA,California,Individual,Home,Yes,Website,4,1404998.67,1250.4325,3.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0034,57,F,Belgium,Brussels,Individual,Home,No,Agency,5,1632608.66,1160.556,2.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0035,61,M,Mexico,Mexico City,Individual,Home,No,Agency,5,1987876.4,1445.752,3.0,1,International Diversified Buyers,""Offer mortgage assistance, virtual property tours, overseas investment support, and flexible payment options."",High Investment"
"C0036,53,M,USA,California,Individual,Home,No,Website,4,1173683.53,963.325,4.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",Medium Investment"
"C0037,64,F,USA,California,Individual,Home,Yes,Website,5,1607228.75,1018.368,5.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0038,52,F,USA,California,Individual,Investment,No,Client,4,1175129.27,1105.1225,4.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",Medium Investment"
"C0039,59,F,Russia,Krasnodar Krai,Individual,Home,No,Agency,4,1858527.54,1365.68,1.0,1,International Diversified Buyers,""Offer mortgage assistance, virtual property tours, overseas investment support, and flexible payment options."",High Investment"
"C0040,51,M,USA,Nevada,Individual,Home,No,Website,6,1854608.29,1047.8,5.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
"C0041,59,M,USA,Arizona,Individual,Home,Yes,Website,5,1374460.79,872.838,1.0,3,Growth-Oriented Investors,""Recommend commercial properties, portfolio diversification opportunities, rental yield analysis, and investment seminars."",High Investment"
